tier	id	title	md_source	md_source_id	summary_len	cover_real	n_authors	n_genres	n_synonyms	n_gallery	n_volumes	n_chapters	n_readable	average_score	title_in_synonyms
A_CORRECT	4646	Hunter × Hunter	anilist	30026	595	t	1	12	7	76	40	416	0	88	f
A_CORRECT	2132	I Don't Want to Be Killed by You, My Crown Prince!	anilist	155341	614	t	2	4	4	0	7	30	0	60	t
A_CORRECT	4841	I Don’t Know Which is Love	anilist	137303	252	t	1	6	4	5	8	60	0	68	t
A_CORRECT	3715	I Hear the Sunspot: Four Seasons	anilist	130867	550	t	1	6	6	2	8	32	0	78	t
A_CORRECT	2372	I My Me	anilist	85532	246	t	1	4	3	0	0	140	0		t
D_NO_METADATA	2639	I Returned as an FFF Class Witch Doctor 2			0	f	2	5	4	14	5	112	0	63	f
A_CORRECT	3742	I Seriously Can't Believe You...	anilist	108770	744	t	1	4	3	4	6	24	0	72	t
A_CORRECT	2303	I Think Our Son Is Gay	anilist	110439	859	t	1	4	12	0	5	104	0	77	t
A_CORRECT	2324	IS Infinite Stratos	anilist	53868	1023	t	2	9	2	16	16	26	0	61	f
A_CORRECT	1832	Ichi the Witch	anilist	180752	454	t	1	6	7	87	8	79	0	79	t
A_CORRECT	2579	Ichinichi Goto ni Dere ga Fueteku Tsuntsuntsuntsuntsundere-chan	anilist	152855	212	t	1	7	6	38	8	418	0	73	t
A_CORRECT	2596	Iki Okure Reijou ga Ryouchi Keiei ni Honsou Shiteitara Tatena Oshi Kou ni Aisaremashita	anilist	201991	658	t	2	4	2	0	2	14	0		t
A_CORRECT	2313	Imaizumi Brings All The Gyarus To His House	anilist	123760	243	t	1	8	5	0	9	30	0	78	t
A_CORRECT	2292	Imasara desu ga, Osananajimi wo Suki ni Natte Shimaimashita	anilist	172369	625	t	1	4	6	0	2	6	0	64	t
A_CORRECT	1874	Immortal Rain	anilist	30373	600	t	1	8	4	0	11	66	0	76	t
A_CORRECT	2385	Imuri	anilist	51003	544	t	1	8	2	0	26	158	0		t
A_CORRECT	2169	Inari Konkon	anilist	53689	1028	t	1	6	5	72	19	66	0	76	t
A_CORRECT	1925	Inazuma Eleven	anilist	49315	378	t	1	5	3	6	10	155	0	69	t
D_NO_METADATA	2013	Inazuma Eleven Chrono Stone			0	f	2	5	6	10	3	155	0	65	f
A_CORRECT	1875	Inbaku no Wakazuma	anilist	210075	87	t	1	2	2	0	0	9	0		t
A_CORRECT	1745	Inkya na Tsubame wa Kawaritai	anilist	170972	204	t	1	4	4	0	8	150	0	55	t
A_CORRECT	2599	Inu to Kuzu	anilist	135930	547	t	1	7	3	0	11	43	0	68	t
